Year,Temperature_Anomaly,Yearly_Change,Cumulative_Temperature,Record_High
1880,-0.18,,-0.18,True
1881,-0.09,0.09,-0.27,True
1900,-0.09,0.09,-4.66,True
1931,-0.09,0.07,-13.719999999999995,True
1937,-0.03,0.12,-14.679999999999994,True
1938,0.0,0.03,-14.679999999999994,True
1940,0.12,0.13999999999999999,-14.579999999999995,True
1941,0.18,0.06,-14.399999999999995,True
1944,0.2,0.11000000000000001,-14.049999999999995,True
1980,0.26,0.1,-14.449999999999992,True
1981,0.32,0.06,-14.129999999999992,True
1987,0.32,0.14,-12.899999999999991,True
1988,0.39,0.07,-12.509999999999991,True
1990,0.45,0.18,-11.789999999999992,True
1995,0.45,0.13,-10.159999999999991,True
1997,0.47,0.13999999999999996,-9.35999999999999,True
1998,0.61,0.14,-8.749999999999991,True
2002,0.63,0.09999999999999998,-6.8199999999999905,True
2005,0.68,0.15000000000000002,-4.98999999999999,True
2010,0.73,0.06999999999999995,-1.7499999999999907,True
2014,0.75,0.06999999999999995,0.9400000000000093,True
2015,0.9,0.15000000000000002,1.8400000000000092,True
2016,1.01,0.10999999999999999,2.8500000000000094,True
2020,1.01,0.030000000000000027,6.610000000000008,True
2023,1.17,0.2799999999999999,9.520000000000008,True
2024,1.28,0.1100000000000001,10.800000000000008,True
