Decade,Mean,Minimum,Maximum,Std
1880,-0.21600000000000003,-0.36,-0.09,0.10254538290706
1890,-0.24100000000000002,-0.36,-0.11,0.08332666639997867
1900,-0.317,-0.49,-0.09,0.13646733430873975
1910,-0.333,-0.46,-0.15,0.1113602761810113
1920,-0.24,-0.36,-0.11,0.0676592771006148
1930,-0.123,-0.29,0.0,0.08994442728707544
1940,0.041999999999999996,-0.11,0.2,0.11496859474559902
1950,-0.047,-0.19,0.08,0.10424863441684873
1960,-0.031,-0.2,0.06,0.08385834616913349
1970,0.034999999999999996,-0.1,0.18,0.10469532516359607
1980,0.24700000000000003,0.12,0.39,0.09153627089241122
1990,0.387,0.22,0.61,0.11804424782446811
2000,0.5890000000000001,0.39,0.68,0.09073159439920706
2010,0.808,0.61,1.01,0.1426573205661424
2020,1.065,0.85,1.28,0.17478558292948532
