Year,Temperature_Anomaly,Yearly_Change
1880,-0.18,
1881,-0.09,0.09
1882,-0.11,-0.020000000000000004
1883,-0.18,-0.06999999999999999
1884,-0.29,-0.10999999999999999
1885,-0.34,-0.050000000000000044
1886,-0.32,0.020000000000000018
1887,-0.36,-0.03999999999999998
1888,-0.18,0.18
1889,-0.11,0.06999999999999999
1890,-0.36,-0.25
1891,-0.23,0.12999999999999998
1892,-0.28,-0.05000000000000002
1893,-0.31,-0.02999999999999997
1894,-0.31,0.0
1895,-0.23,0.07999999999999999
1896,-0.12,0.11000000000000001
1897,-0.11,0.009999999999999995
1898,-0.28,-0.17000000000000004
1899,-0.18,0.10000000000000003
1900,-0.09,0.09
1901,-0.16,-0.07
1902,-0.28,-0.12000000000000002
1903,-0.37,-0.08999999999999997
1904,-0.48,-0.10999999999999999
1905,-0.26,0.21999999999999997
1906,-0.22,0.04000000000000001
1907,-0.39,-0.17
1908,-0.43,-0.03999999999999998
1909,-0.49,-0.06
1910,-0.44,0.04999999999999999
1911,-0.45,-0.010000000000000009
1912,-0.37,0.08000000000000002
1913,-0.35,0.020000000000000018
1914,-0.16,0.18999999999999997
1915,-0.15,0.010000000000000009
1916,-0.37,-0.22
1917,-0.46,-0.09000000000000002
1918,-0.3,0.16000000000000003
1919,-0.28,0.019999999999999962
1920,-0.28,0.0
1921,-0.19,0.09000000000000002
1922,-0.28,-0.09000000000000002
1923,-0.27,0.010000000000000009
1924,-0.27,0.0
1925,-0.22,0.05000000000000002
1926,-0.11,0.11
1927,-0.22,-0.11
1928,-0.2,0.01999999999999999
1929,-0.36,-0.15999999999999998
1930,-0.16,0.19999999999999998
1931,-0.09,0.07
1932,-0.16,-0.07
1933,-0.29,-0.12999999999999998
1934,-0.13,0.15999999999999998
1935,-0.2,-0.07
1936,-0.15,0.05000000000000002
1937,-0.03,0.12
1938,0.0,0.03
1939,-0.02,-0.02
1940,0.12,0.13999999999999999
1941,0.18,0.06
1942,0.06,-0.12
1943,0.09,0.03
1944,0.2,0.11000000000000001
1945,0.09,-0.11000000000000001
1946,-0.07,-0.16
1947,-0.03,0.04000000000000001
1948,-0.11,-0.08
1949,-0.11,0.0
1950,-0.17,-0.06000000000000001
1951,-0.07,0.1
1952,0.01,0.08
1953,0.08,0.07
1954,-0.13,-0.21000000000000002
1955,-0.14,-0.010000000000000009
1956,-0.19,-0.04999999999999999
1957,0.05,0.24
1958,0.06,0.009999999999999995
1959,0.03,-0.03
1960,-0.03,-0.06
1961,0.06,0.09
1962,0.03,-0.03
1963,0.05,0.020000000000000004
1964,-0.2,-0.25
1965,-0.11,0.09000000000000001
1966,-0.06,0.05
1967,-0.02,0.039999999999999994
1968,-0.08,-0.06
1969,0.05,0.13
1970,0.03,-0.020000000000000004
1971,-0.08,-0.11
1972,0.01,0.09
1973,0.16,0.15
1974,-0.07,-0.23
1975,-0.01,0.060000000000000005
1976,-0.1,-0.09000000000000001
1977,0.18,0.28
1978,0.07,-0.10999999999999999
1979,0.16,0.09
1980,0.26,0.1
1981,0.32,0.06
1982,0.14,-0.18
1983,0.31,0.16999999999999998
1984,0.16,-0.15
1985,0.12,-0.04000000000000001
1986,0.18,0.06
1987,0.32,0.14
1988,0.39,0.07
1989,0.27,-0.12
1990,0.45,0.18
1991,0.41,-0.040000000000000036
1992,0.22,-0.18999999999999997
1993,0.23,0.010000000000000009
1994,0.32,0.09
1995,0.45,0.13
1996,0.33,-0.12
1997,0.47,0.13999999999999996
1998,0.61,0.14
1999,0.38,-0.22999999999999998
2000,0.39,0.010000000000000009
2001,0.53,0.14
2002,0.63,0.09999999999999998
2003,0.62,-0.010000000000000009
2004,0.53,-0.08999999999999997
2005,0.68,0.15000000000000002
2006,0.64,-0.040000000000000036
2007,0.67,0.030000000000000027
2008,0.54,-0.13
2009,0.66,0.12
2010,0.73,0.06999999999999995
2011,0.61,-0.12
2012,0.65,0.040000000000000036
2013,0.68,0.030000000000000027
2014,0.75,0.06999999999999995
2015,0.9,0.15000000000000002
2016,1.01,0.10999999999999999
2017,0.92,-0.08999999999999997
2018,0.85,-0.07000000000000006
2019,0.98,0.13
2020,1.01,0.030000000000000027
2021,0.85,-0.16000000000000003
2022,0.89,0.040000000000000036
2023,1.17,0.2799999999999999
2024,1.28,0.1100000000000001
2025,1.19,-0.09000000000000008
