Year,Temperature_Anomaly,ZScore_Anomaly,IQR_Anomaly,Detection_Category
1880,-0.18,False,False,None
1881,-0.09,False,False,None
1882,-0.11,False,False,None
1883,-0.18,False,False,None
1884,-0.29,False,False,None
1885,-0.34,False,False,None
1886,-0.32,False,False,None
1887,-0.36,False,False,None
1888,-0.18,False,False,None
1889,-0.11,False,False,None
1890,-0.36,False,False,None
1891,-0.23,False,False,None
1892,-0.28,False,False,None
1893,-0.31,False,False,None
1894,-0.31,False,False,None
1895,-0.23,False,False,None
1896,-0.12,False,False,None
1897,-0.11,False,False,None
1898,-0.28,False,False,None
1899,-0.18,False,False,None
1900,-0.09,False,False,None
1901,-0.16,False,False,None
1902,-0.28,False,False,None
1903,-0.37,False,False,None
1904,-0.48,False,False,None
1905,-0.26,False,False,None
1906,-0.22,False,False,None
1907,-0.39,False,False,None
1908,-0.43,False,False,None
1909,-0.49,False,False,None
1910,-0.44,False,False,None
1911,-0.45,False,False,None
1912,-0.37,False,False,None
1913,-0.35,False,False,None
1914,-0.16,False,False,None
1915,-0.15,False,False,None
1916,-0.37,False,False,None
1917,-0.46,False,False,None
1918,-0.3,False,False,None
1919,-0.28,False,False,None
1920,-0.28,False,False,None
1921,-0.19,False,False,None
1922,-0.28,False,False,None
1923,-0.27,False,False,None
1924,-0.27,False,False,None
1925,-0.22,False,False,None
1926,-0.11,False,False,None
1927,-0.22,False,False,None
1928,-0.2,False,False,None
1929,-0.36,False,False,None
1930,-0.16,False,False,None
1931,-0.09,False,False,None
1932,-0.16,False,False,None
1933,-0.29,False,False,None
1934,-0.13,False,False,None
1935,-0.2,False,False,None
1936,-0.15,False,False,None
1937,-0.03,False,False,None
1938,0.0,False,False,None
1939,-0.02,False,False,None
1940,0.12,False,False,None
1941,0.18,False,False,None
1942,0.06,False,False,None
1943,0.09,False,False,None
1944,0.2,False,False,None
1945,0.09,False,False,None
1946,-0.07,False,False,None
1947,-0.03,False,False,None
1948,-0.11,False,False,None
1949,-0.11,False,False,None
1950,-0.17,False,False,None
1951,-0.07,False,False,None
1952,0.01,False,False,None
1953,0.08,False,False,None
1954,-0.13,False,False,None
1955,-0.14,False,False,None
1956,-0.19,False,False,None
1957,0.05,False,False,None
1958,0.06,False,False,None
1959,0.03,False,False,None
1960,-0.03,False,False,None
1961,0.06,False,False,None
1962,0.03,False,False,None
1963,0.05,False,False,None
1964,-0.2,False,False,None
1965,-0.11,False,False,None
1966,-0.06,False,False,None
1967,-0.02,False,False,None
1968,-0.08,False,False,None
1969,0.05,False,False,None
1970,0.03,False,False,None
1971,-0.08,False,False,None
1972,0.01,False,False,None
1973,0.16,False,False,None
1974,-0.07,False,False,None
1975,-0.01,False,False,None
1976,-0.1,False,False,None
1977,0.18,False,False,None
1978,0.07,False,False,None
1979,0.16,False,False,None
1980,0.26,False,False,None
1981,0.32,False,False,None
1982,0.14,False,False,None
1983,0.31,False,False,None
1984,0.16,False,False,None
1985,0.12,False,False,None
1986,0.18,False,False,None
1987,0.32,False,False,None
1988,0.39,False,False,None
1989,0.27,False,False,None
1990,0.45,False,False,None
1991,0.41,False,False,None
1992,0.22,False,False,None
1993,0.23,False,False,None
1994,0.32,False,False,None
1995,0.45,False,False,None
1996,0.33,False,False,None
1997,0.47,False,False,None
1998,0.61,False,False,None
1999,0.38,False,False,None
2000,0.39,False,False,None
2001,0.53,False,False,None
2002,0.63,False,False,None
2003,0.62,False,False,None
2004,0.53,False,False,None
2005,0.68,False,False,None
2006,0.64,False,False,None
2007,0.67,False,False,None
2008,0.54,False,False,None
2009,0.66,False,False,None
2010,0.73,False,False,None
2011,0.61,False,False,None
2012,0.65,False,False,None
2013,0.68,False,False,None
2014,0.75,False,False,None
2015,0.9,True,False,Z-Score Only
2016,1.01,True,False,Z-Score Only
2017,0.92,True,False,Z-Score Only
2018,0.85,False,False,None
2019,0.98,True,False,Z-Score Only
2020,1.01,True,False,Z-Score Only
2021,0.85,False,False,None
2022,0.89,True,False,Z-Score Only
2023,1.17,True,True,Both
2024,1.28,True,True,Both
2025,1.19,True,True,Both
