Year,Temperature_Anomaly,Z_Score,Anomaly,Anomaly_Type,IQR_Anomaly,Detection
1880,-0.18,-0.6545207773149176,False,Normal,False,None
1881,-0.09,-0.42979114538604346,False,Normal,False,None
1882,-0.11,-0.4797310635924599,False,Normal,False,None
1883,-0.18,-0.6545207773149176,False,Normal,False,None
1884,-0.29,-0.9291903274502085,False,Normal,False,None
1885,-0.34,-1.0540401229662497,False,Normal,False,None
1886,-0.32,-1.0041002047598333,False,Normal,False,None
1887,-0.36,-1.1039800411726661,False,Normal,False,None
1888,-0.18,-0.6545207773149176,False,Normal,False,None
1889,-0.11,-0.4797310635924599,False,Normal,False,None
1890,-0.36,-1.1039800411726661,False,Normal,False,None
1891,-0.23,-0.7793705728309589,False,Normal,False,None
1892,-0.28,-0.9042203683470003,False,Normal,False,None
1893,-0.31,-0.979130245656625,False,Normal,False,None
1894,-0.31,-0.979130245656625,False,Normal,False,None
1895,-0.23,-0.7793705728309589,False,Normal,False,None
1896,-0.12,-0.5047010226956682,False,Normal,False,None
1897,-0.11,-0.4797310635924599,False,Normal,False,None
1898,-0.28,-0.9042203683470003,False,Normal,False,None
1899,-0.18,-0.6545207773149176,False,Normal,False,None
1900,-0.09,-0.42979114538604346,False,Normal,False,None
1901,-0.16,-0.6045808591085012,False,Normal,False,None
1902,-0.28,-0.9042203683470003,False,Normal,False,None
1903,-0.37,-1.1289500002758746,False,Normal,False,None
1904,-0.48,-1.4036195504111653,False,Normal,False,None
1905,-0.26,-0.8542804501405837,False,Normal,False,None
1906,-0.22,-0.7544006137277507,False,Normal,False,None
1907,-0.39,-1.178889918482291,False,Normal,False,None
1908,-0.43,-1.2787697548951242,False,Normal,False,None
1909,-0.49,-1.4285895095143735,False,Normal,False,None
1910,-0.44,-1.3037397139983324,False,Normal,False,None
1911,-0.45,-1.3287096731015406,False,Normal,False,None
1912,-0.37,-1.1289500002758746,False,Normal,False,None
1913,-0.35,-1.079010082069458,False,Normal,False,None
1914,-0.16,-0.6045808591085012,False,Normal,False,None
1915,-0.15,-0.5796109000052929,False,Normal,False,None
1916,-0.37,-1.1289500002758746,False,Normal,False,None
1917,-0.46,-1.353679632204749,False,Normal,False,None
1918,-0.3,-0.9541602865534167,False,Normal,False,None
1919,-0.28,-0.9042203683470003,False,Normal,False,None
1920,-0.28,-0.9042203683470003,False,Normal,False,None
1921,-0.19,-0.679490736418126,False,Normal,False,None
1922,-0.28,-0.9042203683470003,False,Normal,False,None
1923,-0.27,-0.879250409243792,False,Normal,False,None
1924,-0.27,-0.879250409243792,False,Normal,False,None
1925,-0.22,-0.7544006137277507,False,Normal,False,None
1926,-0.11,-0.4797310635924599,False,Normal,False,None
1927,-0.22,-0.7544006137277507,False,Normal,False,None
1928,-0.2,-0.7044606955213343,False,Normal,False,None
1929,-0.36,-1.1039800411726661,False,Normal,False,None
1930,-0.16,-0.6045808591085012,False,Normal,False,None
1931,-0.09,-0.42979114538604346,False,Normal,False,None
1932,-0.16,-0.6045808591085012,False,Normal,False,None
1933,-0.29,-0.9291903274502085,False,Normal,False,None
1934,-0.13,-0.5296709817988765,False,Normal,False,None
1935,-0.2,-0.7044606955213343,False,Normal,False,None
1936,-0.15,-0.5796109000052929,False,Normal,False,None
